/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run f0t4doie
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_104219-f0t4doie
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_ICM_5x5
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/f0t4doie
Starting ICM DQN Training (Dueling + 3-Step) on 5x5 Board...
Game 100 | Score: 2 | Record: 2 | Mean Score: 0.17 | Epsilon: 0.95 | Intrinsic: 0.030 | Eta: 0.01000
Game 200 | Score: 2 | Record: 3 | Mean Score: 0.22 | Epsilon: 0.90 | Intrinsic: 0.008 | Eta: 0.01000
Game 300 | Score: 0 | Record: 3 | Mean Score: 0.23 | Epsilon: 0.85 | Intrinsic: 0.001 | Eta: 0.01000
Game 400 | Score: 0 | Record: 3 | Mean Score: 0.24 | Epsilon: 0.80 | Intrinsic: 0.001 | Eta: 0.01000
Game 500 | Score: 0 | Record: 3 | Mean Score: 0.25 | Epsilon: 0.75 | Intrinsic: 0.003 | Eta: 0.01000
Game 600 | Score: 0 | Record: 3 | Mean Score: 0.27 | Epsilon: 0.70 | Intrinsic: 0.002 | Eta: 0.01000
Game 700 | Score: 0 | Record: 4 | Mean Score: 0.33 | Epsilon: 0.65 | Intrinsic: 0.001 | Eta: 0.01000
Game 800 | Score: 0 | Record: 7 | Mean Score: 0.37 | Epsilon: 0.60 | Intrinsic: 0.002 | Eta: 0.01000
Game 900 | Score: 0 | Record: 7 | Mean Score: 0.40 | Epsilon: 0.55 | Intrinsic: 0.003 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 7 | Mean Score: 0.46 | Epsilon: 0.50 | Intrinsic: 0.003 | Eta: 0.01000
Game 1100 | Score: 0 | Record: 7 | Mean Score: 0.50 | Epsilon: 0.45 | Intrinsic: 0.004 | Eta: 0.01000
Game 1200 | Score: 6 | Record: 9 | Mean Score: 0.59 | Epsilon: 0.40 | Intrinsic: 0.017 | Eta: 0.01000
Game 1300 | Score: 0 | Record: 10 | Mean Score: 0.68 | Epsilon: 0.35 | Intrinsic: 0.002 | Eta: 0.01000
Game 1400 | Score: 6 | Record: 10 | Mean Score: 0.75 | Epsilon: 0.30 | Intrinsic: 0.027 | Eta: 0.01000
Game 1500 | Score: 1 | Record: 13 | Mean Score: 0.85 | Epsilon: 0.25 | Intrinsic: 0.004 | Eta: 0.01000
Game 1600 | Score: 0 | Record: 13 | Mean Score: 0.95 | Epsilon: 0.20 | Intrinsic: 0.010 | Eta: 0.01000
Game 1700 | Score: 7 | Record: 14 | Mean Score: 1.07 | Epsilon: 0.15 | Intrinsic: 0.032 | Eta: 0.01000
Game 1800 | Score: 0 | Record: 15 | Mean Score: 1.23 | Epsilon: 0.10 | Intrinsic: 0.010 | Eta: 0.01000
Game 1900 | Score: 0 | Record: 16 | Mean Score: 1.40 | Epsilon: 0.05 | Intrinsic: 0.003 | Eta: 0.01000
Game 2000 | Score: 7 | Record: 20 | Mean Score: 1.63 | Epsilon: 0.01 | Intrinsic: 0.024 | Eta: 0.01000
Game 2100 | Score: 0 | Record: 20 | Mean Score: 1.88 | Epsilon: 0.01 | Intrinsic: 0.018 | Eta: 0.01000
Game 2200 | Score: 0 | Record: 20 | Mean Score: 2.11 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 2300 | Score: 10 | Record: 21 | Mean Score: 2.30 | Epsilon: 0.01 | Intrinsic: 0.043 | Eta: 0.01000
Game 2400 | Score: 14 | Record: 21 | Mean Score: 2.46 | Epsilon: 0.01 | Intrinsic: 0.051 | Eta: 0.01000
Game 2500 | Score: 0 | Record: 21 | Mean Score: 2.68 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 2600 | Score: 0 | Record: 23 | Mean Score: 2.85 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 2700 | Score: 11 | Record: 24 | Mean Score: 3.01 | Epsilon: 0.01 | Intrinsic: 0.043 | Eta: 0.01000
Game 2800 | Score: 0 | Record: 24 | Mean Score: 3.19 | Epsilon: 0.01 | Intrinsic: 0.019 | Eta: 0.01000
Game 2900 | Score: 0 | Record: 24 | Mean Score: 3.36 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 3000 | Score: 0 | Record: 24 | Mean Score: 3.48 | Epsilon: 0.01 | Intrinsic: 0.017 | Eta: 0.01000
Game 3100 | Score: 18 | Record: 24 | Mean Score: 3.60 | Epsilon: 0.01 | Intrinsic: 0.046 | Eta: 0.01000
Game 3200 | Score: 8 | Record: 24 | Mean Score: 3.73 | Epsilon: 0.01 | Intrinsic: 0.024 | Eta: 0.01000
Game 3300 | Score: 0 | Record: 24 | Mean Score: 3.83 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
Game 3400 | Score: 17 | Record: 24 | Mean Score: 3.91 | Epsilon: 0.01 | Intrinsic: 0.056 | Eta: 0.01000
Game 3500 | Score: 9 | Record: 24 | Mean Score: 4.02 | Epsilon: 0.01 | Intrinsic: 0.037 | Eta: 0.01000
Game 3600 | Score: 0 | Record: 24 | Mean Score: 4.10 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
