Starting ICM DQN Training (Dueling + 3-Step) on 8x8 Board...
Game 100 | Score: 0 | Record: 1 | Mean Score: 0.11 | Epsilon: 0.95 | Intrinsic: 0.003 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.15 | Epsilon: 0.90 | Intrinsic: 0.002 | Eta: 0.01000
Game 300 | Score: 0 | Record: 3 | Mean Score: 0.16 | Epsilon: 0.85 | Intrinsic: 0.001 | Eta: 0.01000
Game 400 | Score: 1 | Record: 3 | Mean Score: 0.18 | Epsilon: 0.80 | Intrinsic: 0.015 | Eta: 0.01000
Game 500 | Score: 0 | Record: 3 | Mean Score: 0.19 | Epsilon: 0.75 | Intrinsic: 0.001 | Eta: 0.01000
Game 600 | Score: 0 | Record: 3 | Mean Score: 0.23 | Epsilon: 0.70 | Intrinsic: 0.001 | Eta: 0.01000
Game 700 | Score: 1 | Record: 3 | Mean Score: 0.25 | Epsilon: 0.65 | Intrinsic: 0.003 | Eta: 0.01000
Game 800 | Score: 0 | Record: 5 | Mean Score: 0.29 | Epsilon: 0.60 | Intrinsic: 0.004 | Eta: 0.01000
Game 900 | Score: 0 | Record: 6 | Mean Score: 0.35 | Epsilon: 0.55 | Intrinsic: 0.003 | Eta: 0.01000
Game 1000 | Score: 2 | Record: 6 | Mean Score: 0.37 | Epsilon: 0.50 | Intrinsic: 0.010 | Eta: 0.01000
Game 1100 | Score: 0 | Record: 7 | Mean Score: 0.40 | Epsilon: 0.45 | Intrinsic: 0.002 | Eta: 0.01000
Game 1200 | Score: 4 | Record: 8 | Mean Score: 0.45 | Epsilon: 0.40 | Intrinsic: 0.017 | Eta: 0.01000
Game 1300 | Score: 1 | Record: 11 | Mean Score: 0.52 | Epsilon: 0.35 | Intrinsic: 0.011 | Eta: 0.01000
Game 1400 | Score: 0 | Record: 11 | Mean Score: 0.59 | Epsilon: 0.30 | Intrinsic: 0.003 | Eta: 0.01000
Game 1500 | Score: 1 | Record: 11 | Mean Score: 0.67 | Epsilon: 0.25 | Intrinsic: 0.006 | Eta: 0.01000
Game 1600 | Score: 4 | Record: 14 | Mean Score: 0.74 | Epsilon: 0.20 | Intrinsic: 0.017 | Eta: 0.01000
Game 1700 | Score: 5 | Record: 15 | Mean Score: 0.85 | Epsilon: 0.15 | Intrinsic: 0.025 | Eta: 0.01000
Game 1800 | Score: 0 | Record: 18 | Mean Score: 1.00 | Epsilon: 0.10 | Intrinsic: 0.008 | Eta: 0.01000
Game 1900 | Score: 11 | Record: 27 | Mean Score: 1.22 | Epsilon: 0.05 | Intrinsic: 0.034 | Eta: 0.01000
Game 2000 | Score: 14 | Record: 32 | Mean Score: 1.58 | Epsilon: 0.01 | Intrinsic: 0.047 | Eta: 0.01000
Game 2100 | Score: 13 | Record: 32 | Mean Score: 1.89 | Epsilon: 0.01 | Intrinsic: 0.042 | Eta: 0.01000
Game 2200 | Score: 0 | Record: 32 | Mean Score: 2.15 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 2300 | Score: 20 | Record: 32 | Mean Score: 2.35 | Epsilon: 0.01 | Intrinsic: 0.067 | Eta: 0.01000
Game 2400 | Score: 20 | Record: 32 | Mean Score: 2.66 | Epsilon: 0.01 | Intrinsic: 0.098 | Eta: 0.01000
Game 2500 | Score: 21 | Record: 32 | Mean Score: 2.91 | Epsilon: 0.01 | Intrinsic: 0.086 | Eta: 0.01000
Game 2600 | Score: 16 | Record: 32 | Mean Score: 3.15 | Epsilon: 0.01 | Intrinsic: 0.047 | Eta: 0.01000
Game 2700 | Score: 0 | Record: 32 | Mean Score: 3.38 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 2800 | Score: 0 | Record: 38 | Mean Score: 3.55 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 2900 | Score: 9 | Record: 38 | Mean Score: 3.75 | Epsilon: 0.01 | Intrinsic: 0.039 | Eta: 0.01000
Game 3000 | Score: 0 | Record: 38 | Mean Score: 3.98 | Epsilon: 0.01 | Intrinsic: 0.024 | Eta: 0.01000
Game 3100 | Score: 0 | Record: 38 | Mean Score: 4.14 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 3200 | Score: 22 | Record: 38 | Mean Score: 4.36 | Epsilon: 0.01 | Intrinsic: 0.116 | Eta: 0.01000
Game 3300 | Score: 0 | Record: 38 | Mean Score: 4.60 | Epsilon: 0.01 | Intrinsic: 0.025 | Eta: 0.01000
Game 3400 | Score: 28 | Record: 38 | Mean Score: 4.71 | Epsilon: 0.01 | Intrinsic: 0.163 | Eta: 0.01000
Game 3500 | Score: 0 | Record: 39 | Mean Score: 4.82 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 3600 | Score: 0 | Record: 39 | Mean Score: 4.92 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 3700 | Score: 22 | Record: 39 | Mean Score: 5.04 | Epsilon: 0.01 | Intrinsic: 0.074 | Eta: 0.01000
Game 3800 | Score: 13 | Record: 39 | Mean Score: 5.19 | Epsilon: 0.01 | Intrinsic: 0.035 | Eta: 0.01000
Game 3900 | Score: 21 | Record: 39 | Mean Score: 5.33 | Epsilon: 0.01 | Intrinsic: 0.098 | Eta: 0.01000
Game 4000 | Score: 25 | Record: 39 | Mean Score: 5.46 | Epsilon: 0.01 | Intrinsic: 0.113 | Eta: 0.01000
Game 4100 | Score: 17 | Record: 39 | Mean Score: 5.56 | Epsilon: 0.01 | Intrinsic: 0.058 | Eta: 0.01000
Game 4200 | Score: 0 | Record: 39 | Mean Score: 5.63 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 4300 | Score: 19 | Record: 39 | Mean Score: 5.78 | Epsilon: 0.01 | Intrinsic: 0.064 | Eta: 0.01000
Game 4400 | Score: 10 | Record: 39 | Mean Score: 5.86 | Epsilon: 0.01 | Intrinsic: 0.041 | Eta: 0.01000
Game 4500 | Score: 27 | Record: 39 | Mean Score: 5.99 | Epsilon: 0.01 | Intrinsic: 0.109 | Eta: 0.01000
Game 4600 | Score: 0 | Record: 39 | Mean Score: 6.06 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 4700 | Score: 30 | Record: 39 | Mean Score: 6.17 | Epsilon: 0.01 | Intrinsic: 0.131 | Eta: 0.01000
Game 4800 | Score: 0 | Record: 39 | Mean Score: 6.26 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 4900 | Score: 0 | Record: 39 | Mean Score: 6.34 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 5000 | Score: 0 | Record: 39 | Mean Score: 6.41 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 5100 | Score: 17 | Record: 39 | Mean Score: 6.49 | Epsilon: 0.01 | Intrinsic: 0.054 | Eta: 0.01000
Game 5200 | Score: 21 | Record: 39 | Mean Score: 6.58 | Epsilon: 0.01 | Intrinsic: 0.074 | Eta: 0Game 5300 | Score: 0 | Record: 37 | Mean Score: 6.68 | Epsilon: 0.01 | Intrinsic: 0.018 | Eta: 0.01000
Game 5400 | Score: 28 | Record: 37 | Mean Score: 6.76 | Epsilon: 0.01 | Intrinsic: 0.109 | Eta: 0.01000
Game 5500 | Score: 0 | Record: 37 | Mean Score: 6.78 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 5600 | Score: 19 | Record: 37 | Mean Score: 6.85 | Epsilon: 0.01 | Intrinsic: 0.064 | Eta: 0.01000
