/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 8qf7q1l0
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_175507-8qf7q1l0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_v2_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/8qf7q1l0
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 1 | Mean Score: 0.13 | Epsilon: 0.95 | Intrinsic: 0.003 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.90 | Intrinsic: 0.001 | Eta: 0.01000
Game 300 | Score: 0 | Record: 2 | Mean Score: 0.17 | Epsilon: 0.85 | Intrinsic: 0.002 | Eta: 0.01000
Game 400 | Score: 0 | Record: 2 | Mean Score: 0.17 | Epsilon: 0.80 | Intrinsic: 0.001 | Eta: 0.01000
Game 500 | Score: 0 | Record: 4 | Mean Score: 0.20 | Epsilon: 0.75 | Intrinsic: 0.002 | Eta: 0.01000
Game 600 | Score: 0 | Record: 4 | Mean Score: 0.26 | Epsilon: 0.70 | Intrinsic: 0.003 | Eta: 0.01000
Game 700 | Score: 0 | Record: 4 | Mean Score: 0.28 | Epsilon: 0.65 | Intrinsic: 0.002 | Eta: 0.01000
Game 800 | Score: 0 | Record: 5 | Mean Score: 0.32 | Epsilon: 0.60 | Intrinsic: 0.001 | Eta: 0.01000
Game 900 | Score: 0 | Record: 6 | Mean Score: 0.37 | Epsilon: 0.55 | Intrinsic: 0.001 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 8 | Mean Score: 0.44 | Epsilon: 0.50 | Intrinsic: 0.003 | Eta: 0.01000
Game 1100 | Score: 4 | Record: 8 | Mean Score: 0.46 | Epsilon: 0.45 | Intrinsic: 0.026 | Eta: 0.01000
Game 1200 | Score: 0 | Record: 8 | Mean Score: 0.52 | Epsilon: 0.40 | Intrinsic: 0.003 | Eta: 0.01000
Game 1300 | Score: 4 | Record: 8 | Mean Score: 0.58 | Epsilon: 0.35 | Intrinsic: 0.034 | Eta: 0.01000
Game 1400 | Score: 5 | Record: 10 | Mean Score: 0.66 | Epsilon: 0.30 | Intrinsic: 0.023 | Eta: 0.01000
Game 1500 | Score: 0 | Record: 11 | Mean Score: 0.73 | Epsilon: 0.25 | Intrinsic: 0.007 | Eta: 0.01000
Game 1600 | Score: 3 | Record: 16 | Mean Score: 0.82 | Epsilon: 0.20 | Intrinsic: 0.013 | Eta: 0.01000
Game 1700 | Score: 0 | Record: 16 | Mean Score: 0.93 | Epsilon: 0.15 | Intrinsic: 0.001 | Eta: 0.01000
Game 1800 | Score: 1 | Record: 20 | Mean Score: 1.08 | Epsilon: 0.10 | Intrinsic: 0.003 | Eta: 0.01000
Game 1900 | Score: 0 | Record: 27 | Mean Score: 1.27 | Epsilon: 0.05 | Intrinsic: 0.003 | Eta: 0.01000
Game 2000 | Score: 0 | Record: 29 | Mean Score: 1.52 | Epsilon: 0.05 | Intrinsic: 0.007 | Eta: 0.01000
Game 2100 | Score: 0 | Record: 32 | Mean Score: 1.73 | Epsilon: 0.05 | Intrinsic: 0.006 | Eta: 0.01000
Game 2200 | Score: 0 | Record: 33 | Mean Score: 1.98 | Epsilon: 0.05 | Intrinsic: 0.007 | Eta: 0.01000
Game 2300 | Score: 8 | Record: 34 | Mean Score: 2.20 | Epsilon: 0.05 | Intrinsic: 0.022 | Eta: 0.01000
Game 2400 | Score: 0 | Record: 34 | Mean Score: 2.36 | Epsilon: 0.05 | Intrinsic: 0.006 | Eta: 0.01000
Game 2500 | Score: 14 | Record: 34 | Mean Score: 2.55 | Epsilon: 0.05 | Intrinsic: 0.051 | Eta: 0.01000
Game 2600 | Score: 0 | Record: 34 | Mean Score: 2.76 | Epsilon: 0.05 | Intrinsic: 0.010 | Eta: 0.01000
Game 2700 | Score: 11 | Record: 37 | Mean Score: 2.86 | Epsilon: 0.05 | Intrinsic: 0.045 | Eta: 0.01000
Game 2800 | Score: 0 | Record: 37 | Mean Score: 2.92 | Epsilon: 0.05 | Intrinsic: 0.004 | Eta: 0.01000
Game 2900 | Score: 0 | Record: 37 | Mean Score: 3.07 | Epsilon: 0.05 | Intrinsic: 0.001 | Eta: 0.01000
Game 3000 | Score: 19 | Record: 37 | Mean Score: 3.19 | Epsilon: 0.05 | Intrinsic: 0.077 | Eta: 0.01000
Game 3100 | Score: 22 | Record: 37 | Mean Score: 3.31 | Epsilon: 0.05 | Intrinsic: 0.087 | Eta: 0.01000
Game 3200 | Score: 0 | Record: 37 | Mean Score: 3.40 | Epsilon: 0.05 | Intrinsic: 0.005 | Eta: 0.01000
Game 3300 | Score: 0 | Record: 37 | Mean Score: 3.43 | Epsilon: 0.05 | Intrinsic: 0.003 | Eta: 0.01000
Game 3400 | Score: 0 | Record: 37 | Mean Score: 3.50 | Epsilon: 0.05 | Intrinsic: 0.005 | Eta: 0.01000
Game 3500 | Score: 3 | Record: 37 | Mean Score: 3.58 | Epsilon: 0.05 | Intrinsic: 0.008 | Eta: 0.01000
Game 3600 | Score: 0 | Record: 37 | Mean Score: 3.63 | Epsilon: 0.05 | Intrinsic: 0.002 | Eta: 0.01000
Game 3700 | Score: 0 | Record: 37 | Mean Score: 3.73 | Epsilon: 0.05 | Intrinsic: 0.002 | Eta: 0.01000
Game 3800 | Score: 0 | Record: 37 | Mean Score: 3.81 | Epsilon: 0.05 | Intrinsic: 0.005 | Eta: 0.01000
Game 3900 | Score: 6 | Record: 37 | Mean Score: 3.88 | Epsilon: 0.05 | Intrinsic: 0.020 | Eta: 0.01000
Game 4000 | Score: 0 | Record: 37 | Mean Score: 3.91 | Epsilon: 0.05 | Intrinsic: 0.005 | Eta: 0.01000
Game 4100 | Score: 0 | Record: 37 | Mean Score: 3.97 | Epsilon: 0.05 | Intrinsic: 0.005 | Eta: 0.01000
Game 4200 | Score: 18 | Record: 37 | Mean Score: 4.01 | Epsilon: 0.05 | Intrinsic: 0.061 | Eta: 0.01000
Game 4300 | Score: 0 | Record: 37 | Mean Score: 4.04 | Epsilon: 0.05 | Intrinsic: 0.004 | Eta: 0.01000
Game 4400 | Score: 0 | Record: 37 | Mean Score: 4.10 | Epsilon: 0.05 | Intrinsic: 0.004 | Eta: 0.01000
Game 4500 | Score: 6 | Record: 37 | Mean Score: 4.15 | Epsilon: 0.05 | Intrinsic: 0.018 | Eta: 0.01000
Game 4600 | Score: 0 | Record: 37 | Mean Score: 4.20 | Epsilon: 0.05 | Intrinsic: 0.009 | Eta: 0.01000
Game 4700 | Score: 12 | Record: 37 | Mean Score: 4.25 | Epsilon: 0.05 | Intrinsic: 0.026 | Eta: 0.01000
Game 4800 | Score: 0 | Record: 37 | Mean Score: 4.28 | Epsilon: 0.05 | Intrinsic: 0.001 | Eta: 0.01000
Game 4900 | Score: 15 | Record: 37 | Mean Score: 4.33 | Epsilon: 0.05 | Intrinsic: 0.048 | Eta: 0.01000
Game 5000 | Score: 4 | Record: 37 | Mean Score: 4.37 | Epsilon: 0.05 | Intrinsic: 0.014 | Eta: 0.01000
