/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 985ue91l
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260424_092529-985ue91l
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_v8_gamma95_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/985ue91l
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 2 | Mean Score: 0.09 | Epsilon: 0.95 | Intrinsic: 0.003 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.10 | Epsilon: 0.90 | Intrinsic: 0.003 | Eta: 0.01000
Game 300 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.85 | Intrinsic: 0.002 | Eta: 0.01000
Game 400 | Score: 0 | Record: 2 | Mean Score: 0.15 | Epsilon: 0.80 | Intrinsic: 0.004 | Eta: 0.01000
Game 500 | Score: 0 | Record: 3 | Mean Score: 0.19 | Epsilon: 0.75 | Intrinsic: 0.002 | Eta: 0.01000
Game 600 | Score: 0 | Record: 4 | Mean Score: 0.22 | Epsilon: 0.70 | Intrinsic: 0.003 | Eta: 0.01000
Game 700 | Score: 0 | Record: 4 | Mean Score: 0.23 | Epsilon: 0.65 | Intrinsic: 0.001 | Eta: 0.01000
Game 800 | Score: 0 | Record: 4 | Mean Score: 0.26 | Epsilon: 0.60 | Intrinsic: 0.002 | Eta: 0.01000
Game 900 | Score: 0 | Record: 6 | Mean Score: 0.29 | Epsilon: 0.55 | Intrinsic: 0.005 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 7 | Mean Score: 0.34 | Epsilon: 0.50 | Intrinsic: 0.004 | Eta: 0.01000
Game 1100 | Score: 0 | Record: 7 | Mean Score: 0.39 | Epsilon: 0.45 | Intrinsic: 0.001 | Eta: 0.01000
Game 1200 | Score: 2 | Record: 7 | Mean Score: 0.43 | Epsilon: 0.40 | Intrinsic: 0.013 | Eta: 0.01000
Game 1300 | Score: 2 | Record: 9 | Mean Score: 0.51 | Epsilon: 0.35 | Intrinsic: 0.010 | Eta: 0.01000
Game 1400 | Score: 0 | Record: 9 | Mean Score: 0.56 | Epsilon: 0.30 | Intrinsic: 0.010 | Eta: 0.01000
Game 1500 | Score: 4 | Record: 11 | Mean Score: 0.64 | Epsilon: 0.25 | Intrinsic: 0.011 | Eta: 0.01000
Game 1600 | Score: 4 | Record: 17 | Mean Score: 0.74 | Epsilon: 0.20 | Intrinsic: 0.012 | Eta: 0.01000
Game 1700 | Score: 0 | Record: 18 | Mean Score: 0.88 | Epsilon: 0.15 | Intrinsic: 0.007 | Eta: 0.01000
Game 1800 | Score: 14 | Record: 25 | Mean Score: 1.05 | Epsilon: 0.10 | Intrinsic: 0.050 | Eta: 0.01000
Game 1900 | Score: 20 | Record: 25 | Mean Score: 1.27 | Epsilon: 0.05 | Intrinsic: 0.079 | Eta: 0.01000
