/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run u5mgpgfq
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_104219-u5mgpgfq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_ICM_8x8
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/u5mgpgfq
Starting ICM DQN Training (Dueling + 3-Step) on 8x8 Board...
Game 100 | Score: 0 | Record: 1 | Mean Score: 0.11 | Epsilon: 0.95 | Intrinsic: 0.002 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.90 | Intrinsic: 0.003 | Eta: 0.01000
Game 300 | Score: 0 | Record: 3 | Mean Score: 0.14 | Epsilon: 0.85 | Intrinsic: 0.002 | Eta: 0.01000
Game 400 | Score: 0 | Record: 3 | Mean Score: 0.17 | Epsilon: 0.80 | Intrinsic: 0.003 | Eta: 0.01000
Game 500 | Score: 1 | Record: 3 | Mean Score: 0.22 | Epsilon: 0.75 | Intrinsic: 0.007 | Eta: 0.01000
Game 600 | Score: 0 | Record: 4 | Mean Score: 0.26 | Epsilon: 0.70 | Intrinsic: 0.003 | Eta: 0.01000
Game 700 | Score: 0 | Record: 4 | Mean Score: 0.27 | Epsilon: 0.65 | Intrinsic: 0.004 | Eta: 0.01000
Game 800 | Score: 0 | Record: 5 | Mean Score: 0.29 | Epsilon: 0.60 | Intrinsic: 0.002 | Eta: 0.01000
Game 900 | Score: 0 | Record: 6 | Mean Score: 0.33 | Epsilon: 0.55 | Intrinsic: 0.003 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 6 | Mean Score: 0.37 | Epsilon: 0.50 | Intrinsic: 0.004 | Eta: 0.01000
Game 1100 | Score: 0 | Record: 6 | Mean Score: 0.42 | Epsilon: 0.45 | Intrinsic: 0.004 | Eta: 0.01000
Game 1200 | Score: 4 | Record: 6 | Mean Score: 0.47 | Epsilon: 0.40 | Intrinsic: 0.017 | Eta: 0.01000
Game 1300 | Score: 0 | Record: 9 | Mean Score: 0.51 | Epsilon: 0.35 | Intrinsic: 0.007 | Eta: 0.01000
Game 1400 | Score: 5 | Record: 9 | Mean Score: 0.59 | Epsilon: 0.30 | Intrinsic: 0.022 | Eta: 0.01000
Game 1500 | Score: 0 | Record: 11 | Mean Score: 0.69 | Epsilon: 0.25 | Intrinsic: 0.002 | Eta: 0.01000
Game 1600 | Score: 0 | Record: 16 | Mean Score: 0.79 | Epsilon: 0.20 | Intrinsic: 0.002 | Eta: 0.01000
Game 1700 | Score: 1 | Record: 16 | Mean Score: 0.87 | Epsilon: 0.15 | Intrinsic: 0.004 | Eta: 0.01000
Game 1800 | Score: 3 | Record: 18 | Mean Score: 1.01 | Epsilon: 0.10 | Intrinsic: 0.009 | Eta: 0.01000
Game 1900 | Score: 7 | Record: 19 | Mean Score: 1.23 | Epsilon: 0.05 | Intrinsic: 0.027 | Eta: 0.01000
Game 2000 | Score: 22 | Record: 32 | Mean Score: 1.52 | Epsilon: 0.01 | Intrinsic: 0.118 | Eta: 0.01000
Game 2100 | Score: 0 | Record: 32 | Mean Score: 1.87 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 2200 | Score: 0 | Record: 32 | Mean Score: 2.18 | Epsilon: 0.01 | Intrinsic: 0.019 | Eta: 0.01000
Game 2300 | Score: 23 | Record: 32 | Mean Score: 2.52 | Epsilon: 0.01 | Intrinsic: 0.080 | Eta: 0.01000
Game 2400 | Score: 11 | Record: 34 | Mean Score: 2.81 | Epsilon: 0.01 | Intrinsic: 0.041 | Eta: 0.01000
Game 2500 | Score: 23 | Record: 36 | Mean Score: 3.05 | Epsilon: 0.01 | Intrinsic: 0.087 | Eta: 0.01000
Game 2600 | Score: 0 | Record: 36 | Mean Score: 3.23 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 2700 | Score: 0 | Record: 36 | Mean Score: 3.44 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 2800 | Score: 0 | Record: 36 | Mean Score: 3.59 | Epsilon: 0.01 | Intrinsic: 0.022 | Eta: 0.01000
Game 2900 | Score: 16 | Record: 36 | Mean Score: 3.75 | Epsilon: 0.01 | Intrinsic: 0.061 | Eta: 0.01000
Game 3000 | Score: 19 | Record: 36 | Mean Score: 3.97 | Epsilon: 0.01 | Intrinsic: 0.061 | Eta: 0.01000
Game 3100 | Score: 24 | Record: 36 | Mean Score: 4.11 | Epsilon: 0.01 | Intrinsic: 0.111 | Eta: 0.01000
Game 3200 | Score: 0 | Record: 36 | Mean Score: 4.30 | Epsilon: 0.01 | Intrinsic: 0.028 | Eta: 0.01000
Game 3300 | Score: 0 | Record: 36 | Mean Score: 4.46 | Epsilon: 0.01 | Intrinsic: 0.014 | Eta: 0.01000
Game 3400 | Score: 0 | Record: 36 | Mean Score: 4.65 | Epsilon: 0.01 | Intrinsic: 0.027 | Eta: 0.01000
Game 3500 | Score: 0 | Record: 36 | Mean Score: 4.82 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 3600 | Score: 21 | Record: 36 | Mean Score: 4.99 | Epsilon: 0.01 | Intrinsic: 0.071 | Eta: 0.01000
Game 3700 | Score: 16 | Record: 36 | Mean Score: 5.08 | Epsilon: 0.01 | Intrinsic: 0.079 | Eta: 0.01000
Game 3800 | Score: 21 | Record: 36 | Mean Score: 5.18 | Epsilon: 0.01 | Intrinsic: 0.073 | Eta: 0.01000
Game 3900 | Score: 24 | Record: 36 | Mean Score: 5.29 | Epsilon: 0.01 | Intrinsic: 0.105 | Eta: 0.01000
Game 4000 | Score: 20 | Record: 36 | Mean Score: 5.40 | Epsilon: 0.01 | Intrinsic: 0.071 | Eta: 0.01000
Game 4100 | Score: 20 | Record: 36 | Mean Score: 5.53 | Epsilon: 0.01 | Intrinsic: 0.062 | Eta: 0.01000
Game 4200 | Score: 27 | Record: 36 | Mean Score: 5.63 | Epsilon: 0.01 | Intrinsic: 0.101 | Eta: 0.01000
Game 4300 | Score: 20 | Record: 36 | Mean Score: 5.72 | Epsilon: 0.01 | Intrinsic: 0.094 | Eta: 0.01000
Game 4400 | Score: 0 | Record: 38 | Mean Score: 5.80 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 4500 | Score: 28 | Record: 38 | Mean Score: 5.91 | Epsilon: 0.01 | Intrinsic: 0.109 | Eta: 0.01000
Game 4600 | Score: 0 | Record: 38 | Mean Score: 6.01 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 4700 | Score: 0 | Record: 38 | Mean Score: 6.14 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
