/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run piu3oq1c
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_154531-piu3oq1c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/piu3oq1c
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
/Users/saheb/home/rl-snake/utils/per.py:46: RuntimeWarning: divide by zero encountered in scalar power
  max_weight = (p_min * self.tree.n_entries) ** (-self.beta)
Game 100 | Score: 0 | Record: 2 | Mean Score: 0.11 | Epsilon: 0.95 | Intrinsic: 0.003 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.13 | Epsilon: 0.90 | Intrinsic: 0.003 | Eta: 0.01000
Game 300 | Score: 0 | Record: 2 | Mean Score: 0.13 | Epsilon: 0.85 | Intrinsic: 0.001 | Eta: 0.01000
Game 400 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.80 | Intrinsic: 0.001 | Eta: 0.01000
Game 500 | Score: 0 | Record: 2 | Mean Score: 0.15 | Epsilon: 0.75 | Intrinsic: 0.002 | Eta: 0.01000
Game 600 | Score: 0 | Record: 2 | Mean Score: 0.16 | Epsilon: 0.70 | Intrinsic: 0.003 | Eta: 0.01000
Game 700 | Score: 0 | Record: 3 | Mean Score: 0.19 | Epsilon: 0.65 | Intrinsic: 0.002 | Eta: 0.01000
Game 800 | Score: 0 | Record: 3 | Mean Score: 0.23 | Epsilon: 0.60 | Intrinsic: 0.003 | Eta: 0.01000
Game 900 | Score: 0 | Record: 5 | Mean Score: 0.27 | Epsilon: 0.55 | Intrinsic: 0.002 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 6 | Mean Score: 0.30 | Epsilon: 0.50 | Intrinsic: 0.001 | Eta: 0.01000
Game 1100 | Score: 1 | Record: 6 | Mean Score: 0.34 | Epsilon: 0.45 | Intrinsic: 0.007 | Eta: 0.01000
Game 1200 | Score: 1 | Record: 6 | Mean Score: 0.37 | Epsilon: 0.40 | Intrinsic: 0.005 | Eta: 0.01000
Game 1300 | Score: 0 | Record: 6 | Mean Score: 0.42 | Epsilon: 0.35 | Intrinsic: 0.002 | Eta: 0.01000
Game 1400 | Score: 3 | Record: 10 | Mean Score: 0.46 | Epsilon: 0.30 | Intrinsic: 0.014 | Eta: 0.01000
Game 1500 | Score: 0 | Record: 10 | Mean Score: 0.49 | Epsilon: 0.25 | Intrinsic: 0.004 | Eta: 0.01000
Game 1600 | Score: 0 | Record: 14 | Mean Score: 0.54 | Epsilon: 0.20 | Intrinsic: 0.001 | Eta: 0.01000
Game 1700 | Score: 1 | Record: 14 | Mean Score: 0.60 | Epsilon: 0.15 | Intrinsic: 0.002 | Eta: 0.01000
Game 1800 | Score: 3 | Record: 14 | Mean Score: 0.66 | Epsilon: 0.10 | Intrinsic: 0.011 | Eta: 0.01000
Game 1900 | Score: 0 | Record: 14 | Mean Score: 0.74 | Epsilon: 0.05 | Intrinsic: 0.003 | Eta: 0.01000
Game 2000 | Score: 0 | Record: 15 | Mean Score: 0.84 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 2100 | Score: 14 | Record: 23 | Mean Score: 0.96 | Epsilon: 0.01 | Intrinsic: 0.045 | Eta: 0.01000
Game 2200 | Score: 3 | Record: 23 | Mean Score: 1.07 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 2300 | Score: 1 | Record: 23 | Mean Score: 1.23 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 2400 | Score: 18 | Record: 23 | Mean Score: 1.37 | Epsilon: 0.01 | Intrinsic: 0.047 | Eta: 0.01000
Game 2500 | Score: 0 | Record: 23 | Mean Score: 1.49 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 2600 | Score: 1 | Record: 23 | Mean Score: 1.61 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 2700 | Score: 0 | Record: 23 | Mean Score: 1.71 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 2800 | Score: 0 | Record: 23 | Mean Score: 1.79 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 2900 | Score: 1 | Record: 24 | Mean Score: 1.88 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 3000 | Score: 0 | Record: 24 | Mean Score: 1.95 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 3100 | Score: 16 | Record: 24 | Mean Score: 2.05 | Epsilon: 0.01 | Intrinsic: 0.043 | Eta: 0.01000
Game 3200 | Score: 0 | Record: 25 | Mean Score: 2.17 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 3300 | Score: 16 | Record: 25 | Mean Score: 2.27 | Epsilon: 0.01 | Intrinsic: 0.047 | Eta: 0.01000
Game 3400 | Score: 0 | Record: 31 | Mean Score: 2.40 | Epsilon: 0.01 | Intrinsic: 0.001 | Eta: 0.01000
Game 3500 | Score: 0 | Record: 31 | Mean Score: 2.53 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 3600 | Score: 22 | Record: 31 | Mean Score: 2.65 | Epsilon: 0.01 | Intrinsic: 0.054 | Eta: 0.01000
Game 3700 | Score: 5 | Record: 31 | Mean Score: 2.76 | Epsilon: 0.01 | Intrinsic: 0.020 | Eta: 0.01000
Game 3800 | Score: 0 | Record: 31 | Mean Score: 2.88 | Epsilon: 0.01 | Intrinsic: 0.012 | Eta: 0.01000
Game 3900 | Score: 0 | Record: 31 | Mean Score: 2.95 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 4000 | Score: 0 | Record: 31 | Mean Score: 3.03 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 4100 | Score: 5 | Record: 31 | Mean Score: 3.12 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
