/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 3rurfbo5
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260423_143304-3rurfbo5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_v5_2hl_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/3rurfbo5
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 1 | Mean Score: 0.10 | Epsilon: 0.95 | Intrinsic: 0.001 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.11 | Epsilon: 0.90 | Intrinsic: 0.002 | Eta: 0.01000
Game 300 | Score: 0 | Record: 2 | Mean Score: 0.13 | Epsilon: 0.85 | Intrinsic: 0.003 | Eta: 0.01000
Game 400 | Score: 0 | Record: 2 | Mean Score: 0.15 | Epsilon: 0.80 | Intrinsic: 0.002 | Eta: 0.01000
Game 500 | Score: 0 | Record: 2 | Mean Score: 0.15 | Epsilon: 0.75 | Intrinsic: 0.002 | Eta: 0.01000
Game 600 | Score: 1 | Record: 2 | Mean Score: 0.17 | Epsilon: 0.70 | Intrinsic: 0.026 | Eta: 0.01000
Game 700 | Score: 0 | Record: 3 | Mean Score: 0.19 | Epsilon: 0.65 | Intrinsic: 0.004 | Eta: 0.01000
Game 800 | Score: 0 | Record: 4 | Mean Score: 0.23 | Epsilon: 0.60 | Intrinsic: 0.002 | Eta: 0.01000
Game 900 | Score: 0 | Record: 4 | Mean Score: 0.27 | Epsilon: 0.55 | Intrinsic: 0.002 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 6 | Mean Score: 0.32 | Epsilon: 0.50 | Intrinsic: 0.004 | Eta: 0.01000
Game 1100 | Score: 0 | Record: 6 | Mean Score: 0.36 | Epsilon: 0.45 | Intrinsic: 0.003 | Eta: 0.01000
Game 1200 | Score: 2 | Record: 8 | Mean Score: 0.43 | Epsilon: 0.40 | Intrinsic: 0.007 | Eta: 0.01000
Game 1300 | Score: 3 | Record: 8 | Mean Score: 0.48 | Epsilon: 0.35 | Intrinsic: 0.010 | Eta: 0.01000
Game 1400 | Score: 7 | Record: 14 | Mean Score: 0.57 | Epsilon: 0.30 | Intrinsic: 0.040 | Eta: 0.01000
Game 1500 | Score: 0 | Record: 14 | Mean Score: 0.62 | Epsilon: 0.25 | Intrinsic: 0.005 | Eta: 0.01000
Game 1600 | Score: 7 | Record: 14 | Mean Score: 0.70 | Epsilon: 0.20 | Intrinsic: 0.056 | Eta: 0.01000
Game 1700 | Score: 0 | Record: 19 | Mean Score: 0.80 | Epsilon: 0.15 | Intrinsic: 0.002 | Eta: 0.01000
Game 1800 | Score: 15 | Record: 22 | Mean Score: 0.99 | Epsilon: 0.10 | Intrinsic: 0.070 | Eta: 0.01000
Game 1900 | Score: 0 | Record: 22 | Mean Score: 1.20 | Epsilon: 0.05 | Intrinsic: 0.005 | Eta: 0.01000
Game 2000 | Score: 15 | Record: 31 | Mean Score: 1.49 | Epsilon: 0.01 | Intrinsic: 0.062 | Eta: 0.01000
Game 2100 | Score: 0 | Record: 31 | Mean Score: 1.84 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 2200 | Score: 0 | Record: 31 | Mean Score: 2.07 | Epsilon: 0.01 | Intrinsic: 0.020 | Eta: 0.01000
Game 2300 | Score: 19 | Record: 34 | Mean Score: 2.34 | Epsilon: 0.01 | Intrinsic: 0.074 | Eta: 0.01000
Game 2400 | Score: 22 | Record: 34 | Mean Score: 2.56 | Epsilon: 0.01 | Intrinsic: 0.083 | Eta: 0.01000
Game 2500 | Score: 0 | Record: 35 | Mean Score: 2.89 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 2600 | Score: 0 | Record: 35 | Mean Score: 3.15 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 2700 | Score: 0 | Record: 35 | Mean Score: 3.36 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 2800 | Score: 13 | Record: 40 | Mean Score: 3.57 | Epsilon: 0.01 | Intrinsic: 0.039 | Eta: 0.01000
Game 2900 | Score: 0 | Record: 40 | Mean Score: 3.76 | Epsilon: 0.01 | Intrinsic: 0.005 | Eta: 0.01000
Game 3000 | Score: 0 | Record: 40 | Mean Score: 3.91 | Epsilon: 0.01 | Intrinsic: 0.012 | Eta: 0.01000
Game 3100 | Score: 0 | Record: 40 | Mean Score: 4.03 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 3200 | Score: 0 | Record: 40 | Mean Score: 4.17 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 3300 | Score: 26 | Record: 40 | Mean Score: 4.32 | Epsilon: 0.01 | Intrinsic: 0.103 | Eta: 0.01000
Game 3400 | Score: 16 | Record: 40 | Mean Score: 4.42 | Epsilon: 0.01 | Intrinsic: 0.055 | Eta: 0.01000
Game 3500 | Score: 0 | Record: 40 | Mean Score: 4.53 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 3600 | Score: 33 | Record: 40 | Mean Score: 4.63 | Epsilon: 0.01 | Intrinsic: 0.135 | Eta: 0.01000
Game 3700 | Score: 0 | Record: 40 | Mean Score: 4.77 | Epsilon: 0.01 | Intrinsic: 0.015 | Eta: 0.01000
Game 3800 | Score: 0 | Record: 40 | Mean Score: 4.90 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 3900 | Score: 27 | Record: 40 | Mean Score: 5.05 | Epsilon: 0.01 | Intrinsic: 0.109 | Eta: 0.01000
Game 4000 | Score: 19 | Record: 40 | Mean Score: 5.17 | Epsilon: 0.01 | Intrinsic: 0.050 | Eta: 0.01000
Game 4100 | Score: 20 | Record: 40 | Mean Score: 5.30 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 4200 | Score: 12 | Record: 40 | Mean Score: 5.39 | Epsilon: 0.01 | Intrinsic: 0.036 | Eta: 0.01000
Game 4300 | Score: 22 | Record: 41 | Mean Score: 5.51 | Epsilon: 0.01 | Intrinsic: 0.080 | Eta: 0.01000
Game 4400 | Score: 0 | Record: 41 | Mean Score: 5.63 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 4500 | Score: 29 | Record: 41 | Mean Score: 5.71 | Epsilon: 0.01 | Intrinsic: 0.102 | Eta: 0.01000
Game 4600 | Score: 7 | Record: 43 | Mean Score: 5.86 | Epsilon: 0.01 | Intrinsic: 0.023 | Eta: 0.01000
Game 4700 | Score: 0 | Record: 43 | Mean Score: 5.98 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 4800 | Score: 0 | Record: 43 | Mean Score: 6.12 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 4900 | Score: 0 | Record: 52 | Mean Score: 6.25 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
Game 5000 | Score: 0 | Record: 52 | Mean Score: 6.37 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 5100 | Score: 0 | Record: 52 | Mean Score: 6.43 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 5200 | Score: 22 | Record: 52 | Mean Score: 6.50 | Epsilon: 0.01 | Intrinsic: 0.091 | Eta: 0.01000
Game 5300 | Score: 0 | Record: 52 | Mean Score: 6.56 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 5400 | Score: 31 | Record: 52 | Mean Score: 6.67 | Epsilon: 0.01 | Intrinsic: 0.109 | Eta: 0.01000
