/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run c5r89ca6
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260423_215302-c5r89ca6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_PER_v7_periodic_ICM_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/c5r89ca6
Starting ICM DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 1 | Mean Score: 0.08 | Epsilon: 0.95 | Intrinsic: 0.003 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.90 | Intrinsic: 0.001 | Eta: 0.01000
Game 300 | Score: 0 | Record: 3 | Mean Score: 0.14 | Epsilon: 0.85 | Intrinsic: 0.003 | Eta: 0.01000
Game 400 | Score: 0 | Record: 3 | Mean Score: 0.15 | Epsilon: 0.80 | Intrinsic: 0.002 | Eta: 0.01000
Game 500 | Score: 0 | Record: 3 | Mean Score: 0.17 | Epsilon: 0.75 | Intrinsic: 0.006 | Eta: 0.01000
Game 600 | Score: 0 | Record: 3 | Mean Score: 0.20 | Epsilon: 0.70 | Intrinsic: 0.001 | Eta: 0.01000
Game 700 | Score: 0 | Record: 4 | Mean Score: 0.23 | Epsilon: 0.65 | Intrinsic: 0.004 | Eta: 0.01000
Game 800 | Score: 0 | Record: 5 | Mean Score: 0.27 | Epsilon: 0.60 | Intrinsic: 0.003 | Eta: 0.01000
Game 900 | Score: 0 | Record: 5 | Mean Score: 0.31 | Epsilon: 0.55 | Intrinsic: 0.005 | Eta: 0.01000
Game 1000 | Score: 3 | Record: 6 | Mean Score: 0.36 | Epsilon: 0.50 | Intrinsic: 0.015 | Eta: 0.01000
Game 1100 | Score: 1 | Record: 7 | Mean Score: 0.40 | Epsilon: 0.45 | Intrinsic: 0.007 | Eta: 0.01000
Game 1200 | Score: 0 | Record: 8 | Mean Score: 0.47 | Epsilon: 0.40 | Intrinsic: 0.003 | Eta: 0.01000
Game 1300 | Score: 5 | Record: 10 | Mean Score: 0.54 | Epsilon: 0.35 | Intrinsic: 0.024 | Eta: 0.01000
Game 1400 | Score: 2 | Record: 10 | Mean Score: 0.61 | Epsilon: 0.30 | Intrinsic: 0.005 | Eta: 0.01000
Game 1500 | Score: 0 | Record: 11 | Mean Score: 0.70 | Epsilon: 0.25 | Intrinsic: 0.003 | Eta: 0.01000
Game 1600 | Score: 6 | Record: 14 | Mean Score: 0.78 | Epsilon: 0.20 | Intrinsic: 0.045 | Eta: 0.01000
Game 1700 | Score: 5 | Record: 16 | Mean Score: 0.91 | Epsilon: 0.15 | Intrinsic: 0.017 | Eta: 0.01000
Game 1800 | Score: 7 | Record: 20 | Mean Score: 1.06 | Epsilon: 0.10 | Intrinsic: 0.024 | Eta: 0.01000
Game 1900 | Score: 0 | Record: 24 | Mean Score: 1.33 | Epsilon: 0.05 | Intrinsic: 0.008 | Eta: 0.01000
Game 2000 | Score: 28 | Record: 33 | Mean Score: 1.69 | Epsilon: 0.01 | Intrinsic: 0.135 | Eta: 0.01000
Game 2100 | Score: 8 | Record: 33 | Mean Score: 2.00 | Epsilon: 0.01 | Intrinsic: 0.043 | Eta: 0.01000
Game 2200 | Score: 19 | Record: 37 | Mean Score: 2.33 | Epsilon: 0.01 | Intrinsic: 0.065 | Eta: 0.01000
Game 2300 | Score: 29 | Record: 38 | Mean Score: 2.72 | Epsilon: 0.01 | Intrinsic: 0.116 | Eta: 0.01000
Game 2400 | Score: 0 | Record: 40 | Mean Score: 3.05 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 2500 | Score: 0 | Record: 40 | Mean Score: 3.31 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 2600 | Score: 0 | Record: 41 | Mean Score: 3.59 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 2700 | Score: 25 | Record: 41 | Mean Score: 3.92 | Epsilon: 0.01 | Intrinsic: 0.115 | Eta: 0.01000
Game 2800 | Score: 34 | Record: 41 | Mean Score: 4.15 | Epsilon: 0.01 | Intrinsic: 0.131 | Eta: 0.01000
Game 2900 | Score: 0 | Record: 41 | Mean Score: 4.39 | Epsilon: 0.01 | Intrinsic: 0.012 | Eta: 0.01000
Game 3000 | Score: 15 | Record: 41 | Mean Score: 4.64 | Epsilon: 0.01 | Intrinsic: 0.048 | Eta: 0.01000
Game 3100 | Score: 22 | Record: 41 | Mean Score: 4.72 | Epsilon: 0.01 | Intrinsic: 0.079 | Eta: 0.01000
Game 3200 | Score: 0 | Record: 44 | Mean Score: 4.88 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 3300 | Score: 0 | Record: 44 | Mean Score: 5.09 | Epsilon: 0.01 | Intrinsic: 0.021 | Eta: 0.01000
Game 3400 | Score: 23 | Record: 44 | Mean Score: 5.29 | Epsilon: 0.01 | Intrinsic: 0.072 | Eta: 0.01000
Game 3500 | Score: 0 | Record: 46 | Mean Score: 5.49 | Epsilon: 0.01 | Intrinsic: 0.014 | Eta: 0.01000
Game 3600 | Score: 31 | Record: 46 | Mean Score: 5.68 | Epsilon: 0.01 | Intrinsic: 0.111 | Eta: 0.01000
Game 3700 | Score: 27 | Record: 46 | Mean Score: 5.85 | Epsilon: 0.01 | Intrinsic: 0.125 | Eta: 0.01000
Game 3800 | Score: 17 | Record: 46 | Mean Score: 5.94 | Epsilon: 0.01 | Intrinsic: 0.066 | Eta: 0.01000
Game 3900 | Score: 0 | Record: 46 | Mean Score: 6.11 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 4000 | Score: 0 | Record: 46 | Mean Score: 6.19 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 4100 | Score: 0 | Record: 46 | Mean Score: 6.30 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 4200 | Score: 0 | Record: 47 | Mean Score: 6.44 | Epsilon: 0.01 | Intrinsic: 0.008 | Eta: 0.01000
Game 4300 | Score: 0 | Record: 48 | Mean Score: 6.59 | Epsilon: 0.01 | Intrinsic: 0.012 | Eta: 0.01000
Game 4400 | Score: 21 | Record: 48 | Mean Score: 6.69 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 4500 | Score: 0 | Record: 48 | Mean Score: 6.80 | Epsilon: 0.01 | Intrinsic: 0.006 | Eta: 0.01000
Game 4600 | Score: 29 | Record: 48 | Mean Score: 6.99 | Epsilon: 0.01 | Intrinsic: 0.112 | Eta: 0.01000
Game 4700 | Score: 0 | Record: 48 | Mean Score: 7.09 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 4800 | Score: 0 | Record: 48 | Mean Score: 7.14 | Epsilon: 0.01 | Intrinsic: 0.013 | Eta: 0.01000
Game 4900 | Score: 0 | Record: 48 | Mean Score: 7.25 | Epsilon: 0.01 | Intrinsic: 0.003 | Eta: 0.01000
Game 5000 | Score: 16 | Record: 52 | Mean Score: 7.33 | Epsilon: 0.01 | Intrinsic: 0.061 | Eta: 0.01000
Game 5100 | Score: 32 | Record: 52 | Mean Score: 7.43 | Epsilon: 0.01 | Intrinsic: 0.146 | Eta: 0.01000
Game 5200 | Score: 41 | Record: 52 | Mean Score: 7.53 | Epsilon: 0.01 | Intrinsic: 0.197 | Eta: 0.01000
Game 5300 | Score: 0 | Record: 52 | Mean Score: 7.64 | Epsilon: 0.01 | Intrinsic: 0.010 | Eta: 0.01000
