<The background buffer retains approximately the last half of the run>
Game 8400 | Score: 29 | Record: 44 | Mean Score: 7.87 | Epsilon: 0.01 | Intrinsic: 0.104 | Eta: 0.01000
Game 8500 | Score: 0 | Record: 44 | Mean Score: 7.91 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 8600 | Score: 0 | Record: 44 | Mean Score: 7.94 | Epsilon: 0.01 | Intrinsic: 0.004 | Eta: 0.01000
Game 8700 | Score: 17 | Record: 44 | Mean Score: 8.00 | Epsilon: 0.01 | Intrinsic: 0.060 | Eta: 0.01000
Game 8800 | Score: 0 | Record: 44 | Mean Score: 8.05 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 8900 | Score: 0 | Record: 44 | Mean Score: 8.07 | Epsilon: 0.01 | Intrinsic: 0.009 | Eta: 0.01000
Game 9000 | Score: 20 | Record: 44 | Mean Score: 8.08 | Epsilon: 0.01 | Intrinsic: 0.070 | Eta: 0.01000
Game 9100 | Score: 0 | Record: 44 | Mean Score: 8.11 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 9200 | Score: 32 | Record: 44 | Mean Score: 8.15 | Epsilon: 0.01 | Intrinsic: 0.164 | Eta: 0.01000
Game 9300 | Score: 30 | Record: 44 | Mean Score: 8.17 | Epsilon: 0.01 | Intrinsic: 0.138 | Eta: 0.01000
Game 9400 | Score: 18 | Record: 44 | Mean Score: 8.22 | Epsilon: 0.01 | Intrinsic: 0.072 | Eta: 0.01000
Game 9500 | Score: 0 | Record: 44 | Mean Score: 8.25 | Epsilon: 0.01 | Intrinsic: 0.002 | Eta: 0.01000
Game 9600 | Score: 0 | Record: 44 | Mean Score: 8.25 | Epsilon: 0.01 | Intrinsic: 0.007 | Eta: 0.01000
Game 9700 | Score: 25 | Record: 44 | Mean Score: 8.26 | Epsilon: 0.01 | Intrinsic: 0.136 | Eta: 0.01000
Game 9800 | Score: 0 | Record: 44 | Mean Score: 8.27 | Epsilon: 0.01 | Intrinsic: 0.011 | Eta: 0.01000
Game 9900 | Score: 15 | Record: 44 | Mean Score: 8.30 | Epsilon: 0.01 | Intrinsic: 0.061 | Eta: 0.01000
Game 10000 | Score: 16 | Record: 44 | Mean Score: 8.33 | Epsilon: 0.01 | Intrinsic: 0.061 | Eta: 0.01000
Game 10100 | Score: 0 | Record: 44 | Mean Score: 8.36 | Epsilon: 0.01 | Intrinsic: 0.014 | Eta: 0.01000
