/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260424_121023-o8dhemb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_v13_gameexpeps_Baseline_noPER_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/o8dhemb5
Starting Baseline DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 1 | Mean Score: 0.11 | Epsilon: 0.95 | Intrinsic: 0.000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.91 | Intrinsic: 0.000
Game 300 | Score: 0 | Record: 2 | Mean Score: 0.11 | Epsilon: 0.86 | Intrinsic: 0.000
Game 400 | Score: 0 | Record: 2 | Mean Score: 0.12 | Epsilon: 0.82 | Intrinsic: 0.000
Game 500 | Score: 0 | Record: 3 | Mean Score: 0.12 | Epsilon: 0.78 | Intrinsic: 0.000
Game 600 | Score: 1 | Record: 3 | Mean Score: 0.13 | Epsilon: 0.75 | Intrinsic: 0.000
Game 700 | Score: 1 | Record: 3 | Mean Score: 0.14 | Epsilon: 0.71 | Intrinsic: 0.000
Game 800 | Score: 0 | Record: 3 | Mean Score: 0.16 | Epsilon: 0.68 | Intrinsic: 0.000
Game 900 | Score: 0 | Record: 4 | Mean Score: 0.17 | Epsilon: 0.65 | Intrinsic: 0.000
Game 1000 | Score: 0 | Record: 4 | Mean Score: 0.18 | Epsilon: 0.61 | Intrinsic: 0.000
Game 1100 | Score: 0 | Record: 4 | Mean Score: 0.19 | Epsilon: 0.59 | Intrinsic: 0.000
Game 1200 | Score: 0 | Record: 5 | Mean Score: 0.23 | Epsilon: 0.56 | Intrinsic: 0.000
Game 1300 | Score: 0 | Record: 6 | Mean Score: 0.26 | Epsilon: 0.53 | Intrinsic: 0.000
Game 1400 | Score: 3 | Record: 6 | Mean Score: 0.28 | Epsilon: 0.51 | Intrinsic: 0.000
Game 1500 | Score: 0 | Record: 9 | Mean Score: 0.33 | Epsilon: 0.48 | Intrinsic: 0.000
Game 1600 | Score: 0 | Record: 9 | Mean Score: 0.36 | Epsilon: 0.46 | Intrinsic: 0.000
Game 1700 | Score: 0 | Record: 9 | Mean Score: 0.39 | Epsilon: 0.44 | Intrinsic: 0.000
Game 1800 | Score: 7 | Record: 9 | Mean Score: 0.41 | Epsilon: 0.42 | Intrinsic: 0.000
Game 1900 | Score: 4 | Record: 9 | Mean Score: 0.44 | Epsilon: 0.40 | Intrinsic: 0.000
Game 2000 | Score: 0 | Record: 9 | Mean Score: 0.48 | Epsilon: 0.38 | Intrinsic: 0.000
Game 2100 | Score: 0 | Record: 10 | Mean Score: 0.53 | Epsilon: 0.36 | Intrinsic: 0.000
Game 2200 | Score: 4 | Record: 10 | Mean Score: 0.57 | Epsilon: 0.35 | Intrinsic: 0.000
Game 2300 | Score: 5 | Record: 10 | Mean Score: 0.60 | Epsilon: 0.33 | Intrinsic: 0.000
Game 2400 | Score: 0 | Record: 14 | Mean Score: 0.66 | Epsilon: 0.32 | Intrinsic: 0.000
Game 2500 | Score: 0 | Record: 14 | Mean Score: 0.70 | Epsilon: 0.30 | Intrinsic: 0.000
Game 2600 | Score: 0 | Record: 14 | Mean Score: 0.73 | Epsilon: 0.29 | Intrinsic: 0.000
Game 2700 | Score: 0 | Record: 14 | Mean Score: 0.77 | Epsilon: 0.27 | Intrinsic: 0.000
Game 2800 | Score: 0 | Record: 17 | Mean Score: 0.81 | Epsilon: 0.26 | Intrinsic: 0.000
Game 2900 | Score: 0 | Record: 17 | Mean Score: 0.86 | Epsilon: 0.25 | Intrinsic: 0.000
Game 3000 | Score: 0 | Record: 17 | Mean Score: 0.92 | Epsilon: 0.24 | Intrinsic: 0.000
Game 3100 | Score: 0 | Record: 17 | Mean Score: 0.95 | Epsilon: 0.23 | Intrinsic: 0.000
Game 3200 | Score: 5 | Record: 17 | Mean Score: 1.01 | Epsilon: 0.22 | Intrinsic: 0.000
Game 3300 | Score: 0 | Record: 17 | Mean Score: 1.06 | Epsilon: 0.21 | Intrinsic: 0.000
Game 3400 | Score: 0 | Record: 17 | Mean Score: 1.10 | Epsilon: 0.20 | Intrinsic: 0.000
Game 3500 | Score: 5 | Record: 17 | Mean Score: 1.13 | Epsilon: 0.19 | Intrinsic: 0.000
Game 3600 | Score: 5 | Record: 17 | Mean Score: 1.18 | Epsilon: 0.18 | Intrinsic: 0.000
Game 3700 | Score: 0 | Record: 17 | Mean Score: 1.23 | Epsilon: 0.17 | Intrinsic: 0.000
Game 3800 | Score: 0 | Record: 17 | Mean Score: 1.31 | Epsilon: 0.17 | Intrinsic: 0.000
Game 3900 | Score: 0 | Record: 17 | Mean Score: 1.35 | Epsilon: 0.16 | Intrinsic: 0.000
Game 4000 | Score: 0 | Record: 18 | Mean Score: 1.42 | Epsilon: 0.15 | Intrinsic: 0.000
Game 4100 | Score: 0 | Record: 19 | Mean Score: 1.46 | Epsilon: 0.15 | Intrinsic: 0.000
Game 4200 | Score: 0 | Record: 19 | Mean Score: 1.52 | Epsilon: 0.14 | Intrinsic: 0.000
Game 4300 | Score: 9 | Record: 27 | Mean Score: 1.57 | Epsilon: 0.13 | Intrinsic: 0.000
Game 4400 | Score: 6 | Record: 27 | Mean Score: 1.61 | Epsilon: 0.13 | Intrinsic: 0.000
Game 4500 | Score: 4 | Record: 27 | Mean Score: 1.67 | Epsilon: 0.12 | Intrinsic: 0.000
Game 4600 | Score: 0 | Record: 27 | Mean Score: 1.73 | Epsilon: 0.12 | Intrinsic: 0.000
Game 4700 | Score: 0 | Record: 27 | Mean Score: 1.78 | Epsilon: 0.11 | Intrinsic: 0.000
Game 4800 | Score: 13 | Record: 27 | Mean Score: 1.82 | Epsilon: 0.11 | Intrinsic: 0.000
Game 4900 | Score: 0 | Record: 27 | Mean Score: 1.85 | Epsilon: 0.10 | Intrinsic: 0.000
Game 5000 | Score: 18 | Record: 27 | Mean Score: 1.90 | Epsilon: 0.10 | Intrinsic: 0.000
Game 5100 | Score: 7 | Record: 27 | Mean Score: 1.96 | Epsilon: 0.10 | Intrinsic: 0.000
Game 5200 | Score: 3 | Record: 27 | Mean Score: 1.99 | Epsilon: 0.09 | Intrinsic: 0.000
Game 5300 | Score: 0 | Record: 27 | Mean Score: 2.06 | Epsilon: 0.09 | Intrinsic: 0.000
Game 5400 | Score: 0 | Record: 27 | Mean Score: 2.12 | Epsilon: 0.09 | Intrinsic: 0.000
Game 5500 | Score: 20 | Record: 31 | Mean Score: 2.20 | Epsilon: 0.08 | Intrinsic: 0.000
Game 5600 | Score: 0 | Record: 32 | Mean Score: 2.25 | Epsilon: 0.08 | Intrinsic: 0.000
Game 5700 | Score: 19 | Record: 32 | Mean Score: 2.30 | Epsilon: 0.08 | Intrinsic: 0.000
Game 5800 | Score: 18 | Record: 32 | Mean Score: 2.37 | Epsilon: 0.07 | Intrinsic: 0.000
Game 5900 | Score: 23 | Record: 32 | Mean Score: 2.43 | Epsilon: 0.07 | Intrinsic: 0.000
Game 6000 | Score: 10 | Record: 32 | Mean Score: 2.50 | Epsilon: 0.07 | Intrinsic: 0.000
Game 6100 | Score: 0 | Record: 34 | Mean Score: 2.57 | Epsilon: 0.07 | Intrinsic: 0.000
Game 6200 | Score: 24 | Record: 34 | Mean Score: 2.62 | Epsilon: 0.06 | Intrinsic: 0.000
Game 6300 | Score: 0 | Record: 34 | Mean Score: 2.69 | Epsilon: 0.06 | Intrinsic: 0.000
Game 6400 | Score: 0 | Record: 34 | Mean Score: 2.74 | Epsilon: 0.06 | Intrinsic: 0.000
Game 6500 | Score: 0 | Record: 40 | Mean Score: 2.78 | Epsilon: 0.06 | Intrinsic: 0.000
Game 6600 | Score: 22 | Record: 40 | Mean Score: 2.83 | Epsilon: 0.06 | Intrinsic: 0.000
Game 6700 | Score: 0 | Record: 40 | Mean Score: 2.89 | Epsilon: 0.05 | Intrinsic: 0.000
Game 6800 | Score: 8 | Record: 40 | Mean Score: 2.96 | Epsilon: 0.05 | Intrinsic: 0.000
Game 6900 | Score: 24 | Record: 40 | Mean Score: 3.02 | Epsilon: 0.05 | Intrinsic: 0.000
Game 7000 | Score: 0 | Record: 40 | Mean Score: 3.07 | Epsilon: 0.05 | Intrinsic: 0.000
Game 7100 | Score: 0 | Record: 40 | Mean Score: 3.12 | Epsilon: 0.05 | Intrinsic: 0.000
Game 7200 | Score: 14 | Record: 40 | Mean Score: 3.18 | Epsilon: 0.05 | Intrinsic: 0.000
Game 7300 | Score: 0 | Record: 40 | Mean Score: 3.24 | Epsilon: 0.05 | Intrinsic: 0.000
Game 7400 | Score: 0 | Record: 40 | Mean Score: 3.27 | Epsilon: 0.04 | Intrinsic: 0.000
Game 7500 | Score: 0 | Record: 40 | Mean Score: 3.32 | Epsilon: 0.04 | Intrinsic: 0.000
Game 7600 | Score: 0 | Record: 40 | Mean Score: 3.37 | Epsilon: 0.04 | Intrinsic: 0.000
Game 7700 | Score: 7 | Record: 40 | Mean Score: 3.44 | Epsilon: 0.04 | Intrinsic: 0.000
Game 7800 | Score: 12 | Record: 40 | Mean Score: 3.50 | Epsilon: 0.04 | Intrinsic: 0.000
Game 7900 | Score: 29 | Record: 40 | Mean Score: 3.58 | Epsilon: 0.04 | Intrinsic: 0.000
Game 8000 | Score: 21 | Record: 40 | Mean Score: 3.63 | Epsilon: 0.04 | Intrinsic: 0.000
Game 8100 | Score: 11 | Record: 40 | Mean Score: 3.67 | Epsilon: 0.04 | Intrinsic: 0.000
Game 8200 | Score: 0 | Record: 40 | Mean Score: 3.70 | Epsilon: 0.04 | Intrinsic: 0.000
Game 8300 | Score: 0 | Record: 40 | Mean Score: 3.76 | Epsilon: 0.04 | Intrinsic: 0.000
Game 8400 | Score: 0 | Record: 45 | Mean Score: 3.82 | Epsilon: 0.03 | Intrinsic: 0.000
Game 8500 | Score: 0 | Record: 45 | Mean Score: 3.89 | Epsilon: 0.03 | Intrinsic: 0.000
Game 8600 | Score: 16 | Record: 45 | Mean Score: 3.94 | Epsilon: 0.03 | Intrinsic: 0.000
Game 8700 | Score: 0 | Record: 45 | Mean Score: 3.99 | Epsilon: 0.03 | Intrinsic: 0.000
Game 8800 | Score: 13 | Record: 45 | Mean Score: 4.04 | Epsilon: 0.03 | Intrinsic: 0.000
Game 8900 | Score: 0 | Record: 45 | Mean Score: 4.09 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9000 | Score: 0 | Record: 45 | Mean Score: 4.14 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9100 | Score: 0 | Record: 45 | Mean Score: 4.20 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9200 | Score: 0 | Record: 45 | Mean Score: 4.26 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9300 | Score: 0 | Record: 45 | Mean Score: 4.30 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9400 | Score: 7 | Record: 47 | Mean Score: 4.36 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9500 | Score: 0 | Record: 47 | Mean Score: 4.41 | Epsilon: 0.03 | Intrinsic: 0.000
Game 9600 | Score: 40 | Record: 47 | Mean Score: 4.46 | Epsilon: 0.03 | Intrinsic: 0.000
