/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kgcmufam
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_100346-kgcmufam
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO_ICM_5x5
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/kgcmufam
Starting ICM PPO Training on 5x5 Board...
============================================================
Game 100 | Score: 0 | Record: 2 | Mean: 0.26 | Intrinsic: 0.010 | Eta: 0.01000
Game 200 | Score: 0 | Record: 2 | Mean: 0.21 | Intrinsic: 0.005 | Eta: 0.01000
Game 300 | Score: 0 | Record: 2 | Mean: 0.19 | Intrinsic: 0.003 | Eta: 0.01000
Game 400 | Score: 0 | Record: 5 | Mean: 0.21 | Intrinsic: 0.001 | Eta: 0.01000
Game 500 | Score: 0 | Record: 5 | Mean: 0.21 | Intrinsic: 0.004 | Eta: 0.01000
Game 600 | Score: 2 | Record: 5 | Mean: 0.21 | Intrinsic: 0.011 | Eta: 0.01000
Game 700 | Score: 0 | Record: 5 | Mean: 0.20 | Intrinsic: 0.002 | Eta: 0.01000
Game 800 | Score: 0 | Record: 5 | Mean: 0.19 | Intrinsic: 0.002 | Eta: 0.01000
Game 900 | Score: 0 | Record: 5 | Mean: 0.20 | Intrinsic: 0.002 | Eta: 0.01000
Game 1000 | Score: 0 | Record: 5 | Mean: 0.20 | Intrinsic: 0.002 | Eta: 0.01000
Game 1100 | Score: 0 | Record: 5 | Mean: 0.21 | Intrinsic: 0.003 | Eta: 0.01000
Game 1200 | Score: 0 | Record: 5 | Mean: 0.21 | Intrinsic: 0.001 | Eta: 0.01000
Game 1300 | Score: 0 | Record: 5 | Mean: 0.22 | Intrinsic: 0.002 | Eta: 0.01000
