/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run t5120te1
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_084517-t5120te1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run DQN_Baseline_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/t5120te1
Starting Baseline DQN Training (Dueling + 3-Step) on 10x10 Board...
Game 100 | Score: 0 | Record: 2 | Mean Score: 0.11 | Epsilon: 0.95 | Intrinsic: 0.000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.15 | Epsilon: 0.90 | Intrinsic: 0.000
Game 300 | Score: 0 | Record: 3 | Mean Score: 0.18 | Epsilon: 0.85 | Intrinsic: 0.000
Game 400 | Score: 1 | Record: 3 | Mean Score: 0.21 | Epsilon: 0.80 | Intrinsic: 0.000
Game 500 | Score: 0 | Record: 3 | Mean Score: 0.22 | Epsilon: 0.75 | Intrinsic: 0.000
Game 600 | Score: 1 | Record: 3 | Mean Score: 0.27 | Epsilon: 0.70 | Intrinsic: 0.000
Game 700 | Score: 0 | Record: 6 | Mean Score: 0.29 | Epsilon: 0.65 | Intrinsic: 0.000
Game 800 | Score: 0 | Record: 6 | Mean Score: 0.32 | Epsilon: 0.60 | Intrinsic: 0.000
Game 900 | Score: 0 | Record: 6 | Mean Score: 0.37 | Epsilon: 0.55 | Intrinsic: 0.000
Game 1000 | Score: 0 | Record: 6 | Mean Score: 0.41 | Epsilon: 0.50 | Intrinsic: 0.000
Game 1100 | Score: 0 | Record: 8 | Mean Score: 0.49 | Epsilon: 0.45 | Intrinsic: 0.000
Game 1200 | Score: 2 | Record: 8 | Mean Score: 0.55 | Epsilon: 0.40 | Intrinsic: 0.000
Game 1300 | Score: 0 | Record: 11 | Mean Score: 0.66 | Epsilon: 0.35 | Intrinsic: 0.000
Game 1400 | Score: 0 | Record: 14 | Mean Score: 0.72 | Epsilon: 0.30 | Intrinsic: 0.000
Game 1500 | Score: 0 | Record: 14 | Mean Score: 0.81 | Epsilon: 0.25 | Intrinsic: 0.000
Game 1600 | Score: 0 | Record: 16 | Mean Score: 0.94 | Epsilon: 0.20 | Intrinsic: 0.000
Game 1700 | Score: 7 | Record: 20 | Mean Score: 1.09 | Epsilon: 0.15 | Intrinsic: 0.000
Game 1800 | Score: 2 | Record: 20 | Mean Score: 1.24 | Epsilon: 0.10 | Intrinsic: 0.000
Game 1900 | Score: 0 | Record: 25 | Mean Score: 1.48 | Epsilon: 0.05 | Intrinsic: 0.000
Game 2000 | Score: 0 | Record: 35 | Mean Score: 1.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2100 | Score: 0 | Record: 35 | Mean Score: 2.19 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2200 | Score: 0 | Record: 36 | Mean Score: 2.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2300 | Score: 23 | Record: 39 | Mean Score: 2.89 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2400 | Score: 0 | Record: 39 | Mean Score: 3.13 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2500 | Score: 30 | Record: 39 | Mean Score: 3.39 | Epsilon: 0.01 | Intrinsic: 0.000
