Starting Baseline DQN Training (Dueling + 3-Step) on 8x8 Board...
Game 100 | Score: 0 | Record: 2 | Mean Score: 0.10 | Epsilon: 0.95 | Intrinsic: 0.000
Game 200 | Score: 0 | Record: 2 | Mean Score: 0.14 | Epsilon: 0.90 | Intrinsic: 0.000
Game 300 | Score: 0 | Record: 2 | Mean Score: 0.17 | Epsilon: 0.85 | Intrinsic: 0.000
Game 400 | Score: 0 | Record: 4 | Mean Score: 0.21 | Epsilon: 0.80 | Intrinsic: 0.000
Game 500 | Score: 0 | Record: 4 | Mean Score: 0.24 | Epsilon: 0.75 | Intrinsic: 0.000
Game 600 | Score: 0 | Record: 4 | Mean Score: 0.26 | Epsilon: 0.70 | Intrinsic: 0.000
Game 700 | Score: 0 | Record: 4 | Mean Score: 0.28 | Epsilon: 0.65 | Intrinsic: 0.000
Game 800 | Score: 0 | Record: 5 | Mean Score: 0.31 | Epsilon: 0.60 | Intrinsic: 0.000
Game 900 | Score: 5 | Record: 5 | Mean Score: 0.37 | Epsilon: 0.55 | Intrinsic: 0.000
Game 1000 | Score: 0 | Record: 6 | Mean Score: 0.41 | Epsilon: 0.50 | Intrinsic: 0.000
Game 1100 | Score: 0 | Record: 10 | Mean Score: 0.46 | Epsilon: 0.45 | Intrinsic: 0.000
Game 1200 | Score: 0 | Record: 10 | Mean Score: 0.48 | Epsilon: 0.40 | Intrinsic: 0.000
Game 1300 | Score: 0 | Record: 10 | Mean Score: 0.54 | Epsilon: 0.35 | Intrinsic: 0.000
Game 1400 | Score: 0 | Record: 14 | Mean Score: 0.63 | Epsilon: 0.30 | Intrinsic: 0.000
Game 1500 | Score: 0 | Record: 14 | Mean Score: 0.67 | Epsilon: 0.25 | Intrinsic: 0.000
Game 1600 | Score: 8 | Record: 14 | Mean Score: 0.80 | Epsilon: 0.20 | Intrinsic: 0.000
Game 1700 | Score: 2 | Record: 20 | Mean Score: 0.92 | Epsilon: 0.15 | Intrinsic: 0.000
Game 1800 | Score: 4 | Record: 22 | Mean Score: 1.07 | Epsilon: 0.10 | Intrinsic: 0.000
Game 1900 | Score: 16 | Record: 28 | Mean Score: 1.24 | Epsilon: 0.05 | Intrinsic: 0.000
Game 2000 | Score: 11 | Record: 28 | Mean Score: 1.50 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2100 | Score: 21 | Record: 34 | Mean Score: 1.76 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2200 | Score: 0 | Record: 34 | Mean Score: 2.05 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2300 | Score: 14 | Record: 34 | Mean Score: 2.33 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2400 | Score: 23 | Record: 34 | Mean Score: 2.54 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2500 | Score: 0 | Record: 34 | Mean Score: 2.83 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2600 | Score: 0 | Record: 34 | Mean Score: 3.04 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2700 | Score: 28 | Record: 34 | Mean Score: 3.25 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2800 | Score: 29 | Record: 37 | Mean Score: 3.44 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2900 | Score: 16 | Record: 37 | Mean Score: 3.67 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3000 | Score: 23 | Record: 37 | Mean Score: 3.90 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3100 | Score: 0 | Record: 37 | Mean Score: 4.16 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3200 | Score: 24 | Record: 37 | Mean Score: 4.36 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3300 | Score: 0 | Record: 37 | Mean Score: 4.54 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3400 | Score: 0 | Record: 37 | Mean Score: 4.67 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3500 | Score: 0 | Record: 37 | Mean Score: 4.76 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3600 | Score: 0 | Record: 37 | Mean Score: 4.90 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3700 | Score: 0 | Record: 37 | Mean Score: 5.02 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3800 | Score: 0 | Record: 37 | Mean Score: 5.15 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3900 | Score: 26 | Record: 37 | Mean Score: 5.32 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4000 | Score: 0 | Record: 37 | Mean Score: 5.49 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4100 | Score: 0 | Record: 37 | Mean Score: 5.59 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4200 | Score: 20 | Record: 37 | Mean Score: 5.65 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4300 | Score: 26 | Record: 37 | Mean Score: 5.81 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4400 | Score: 6 | Record: 37 | Mean Score: 5.94 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4500 | Score: 17 | Record: 37 | Mean Score: 6.01 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4600 | Score: 23 | Record: 39 | Mean Score: 6.08 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4700 | Score: 0 | Record: 39 | Mean Score: 6.19 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4800 | Score: 0 | Record: 39 | Mean Score: 6.27 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4900 | Score: 0 | Record: 39 | Mean Score: 6.36 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5000 | Score: 0 | Record: 39 | Mean Score: 6.45 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5100 | Score: 0 | Record: 39 | Mean Score: 6.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5200 | Score: 18 | Record: 39 | Mean Score: 6.60 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5300 | Score: 22 | Record: 39 | Mean Score: 6.67 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5400 | Score: 14 | Record: 39 | Mean Score: 6.69 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5500 | Score: 20 | Record: 42 | Mean Score: 6.77 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5600 | Score: 21 | Record: 42 | Mean Score: 6.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5700 | Score: 22 | Record: 42 | Mean Score: 6.89 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5800 | Score: 24 | Record: 42 | Mean Score: 6.96 | Epsilon: 0.01 | Intrinsic: 0.000
Game 5900 | Score: 0 | Record: 42 | Mean Score: 6.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6000 | Score: 32 | Record: 42 | Mean Score: 7.05 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6100 | Score: 8 | Record: 42 | Mean Score: 7.07 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6200 | Score: 0 | Record: 42 | Mean Score: 7.14 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6300 | Score: 0 | Record: 42 | Mean Score: 7.20 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6400 | Score: 30 | Record: 42 | Mean Score: 7.29 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6500 | Score: 0 | Record: 42 | Mean Score: 7.34 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6600 | Score: 0 | Record: 42 | Mean Score: 7.40 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6700 | Score: 0 | Record: 42 | Mean Score: 7.45 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6800 | Score: 31 | Record: 42 | Mean Score: 7.50 | Epsilon: 0.01 | Intrinsic: 0.000
Game 6900 | Score: 0 | Record: 42 | Mean Score: 7.54 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7000 | Score: 14 | Record: 42 | Mean Score: 7.58 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7100 | Score: 20 | Record: 42 | Mean Score: 7.62 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7200 | Score: 0 | Record: 42 | Mean Score: 7.62 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7300 | Score: 0 | Record: 42 | Mean Score: 7.66 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7400 | Score: 0 | Record: 42 | Mean Score: 7.69 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7500 | Score: 0 | Record: 42 | Mean Score: 7.73 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7600 | Score: 0 | Record: 42 | Mean Score: 7.74 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7700 | Score: 18 | Record: 42 | Mean Score: 7.77 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7800 | Score: 0 | Record: 42 | Mean Score: 7.83 | Epsilon: 0.01 | Intrinsic: 0.000
Game 7900 | Score: 31 | Record: 42 | Mean Score: 7.89 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8000 | Score: 11 | Record: 42 | Mean Score: 7.90 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8100 | Score: 27 | Record: 42 | Mean Score: 7.95 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8200 | Score: 31 | Record: 42 | Mean Score: 7.95 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8300 | Score: 19 | Record: 42 | Mean Score: 7.94 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8400 | Score: 0 | Record: 42 | Mean Score: 7.96 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8500 | Score: 0 | Record: 42 | Mean Score: 8.00 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8600 | Score: 0 | Record: 42 | Mean Score: 8.02 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8700 | Score: 0 | Record: 42 | Mean Score: 8.03 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8800 | Score: 14 | Record: 42 | Mean Score: 8.05 | Epsilon: 0.01 | Intrinsic: 0.000
Game 8900 | Score: 18 | Record: 42 | Mean Score: 8.04 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9000 | Score: 0 | Record: 42 | Mean Score: 8.04 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9100 | Score: 30 | Record: 42 | Mean Score: 8.08 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9200 | Score: 25 | Record: 42 | Mean Score: 8.11 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9300 | Score: 12 | Record: 42 | Mean Score: 8.15 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9400 | Score: 23 | Record: 42 | Mean Score: 8.17 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9500 | Score: 0 | Record: 42 | Mean Score: 8.19 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9600 | Score: 28 | Record: 42 | Mean Score: 8.22 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9700 | Score: 8 | Record: 42 | Mean Score: 8.28 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9800 | Score: 19 | Record: 42 | Mean Score: 8.31 | Epsilon: 0.01 | Intrinsic: 0.000
Game 9900 | Score: 0 | Record: 42 | Mean Score: 8.34 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10000 | Score: 22 | Record: 42 | Mean Score: 8.37 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10100 | Score: 0 | Record: 42 | Mean Score: 8.41 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10200 | Score: 29 | Record: 42 | Mean Score: 8.41 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10300 | Score: 0 | Record: 42 | Mean Score: 8.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10400 | Score: 0 | Record: 42 | Mean Score: 8.44 | Epsilon: 0.01 | Intrinsic: 0.000
Game 10500 | Score: 21 | Record: 42 | Mean Score: 8.47 | Epsilon: 0.01 | Intrinsic: 0.000
