/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ndj5dr5o
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_070021-ndj5dr5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed2
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/ndj5dr5o
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 100 | Score: 0 | Record: 2 | Mean: 0.17 | ε: 0.982 | Steps: 7,845
Game 200 | Score: 0 | Record: 2 | Mean: 0.17 | ε: 0.962 | Steps: 16,713
Game 300 | Score: 0 | Record: 2 | Mean: 0.17 | ε: 0.945 | Steps: 23,704
Game 400 | Score: 0 | Record: 2 | Mean: 0.19 | ε: 0.925 | Steps: 32,565
Game 500 | Score: 0 | Record: 2 | Mean: 0.20 | ε: 0.908 | Steps: 39,995
Game 600 | Score: 0 | Record: 2 | Mean: 0.22 | ε: 0.888 | Steps: 48,530
Game 700 | Score: 0 | Record: 2 | Mean: 0.26 | ε: 0.869 | Steps: 57,124
Game 800 | Score: 0 | Record: 2 | Mean: 0.28 | ε: 0.849 | Steps: 65,526
Game 900 | Score: 1 | Record: 2 | Mean: 0.29 | ε: 0.833 | Steps: 72,556
Game 1000 | Score: 0 | Record: 2 | Mean: 0.33 | ε: 0.815 | Steps: 80,489
Game 1100 | Score: 2 | Record: 2 | Mean: 0.36 | ε: 0.801 | Steps: 86,604
Game 1200 | Score: 2 | Record: 2 | Mean: 0.39 | ε: 0.784 | Steps: 93,886
Game 1300 | Score: 1 | Record: 2 | Mean: 0.42 | ε: 0.767 | Steps: 101,258
Game 1400 | Score: 1 | Record: 2 | Mean: 0.46 | ε: 0.750 | Steps: 108,495
Game 1500 | Score: 0 | Record: 3 | Mean: 0.48 | ε: 0.737 | Steps: 114,469
Game 1600 | Score: 0 | Record: 3 | Mean: 0.52 | ε: 0.720 | Steps: 121,789
Game 1700 | Score: 2 | Record: 3 | Mean: 0.56 | ε: 0.704 | Steps: 128,571
Game 1800 | Score: 2 | Record: 3 | Mean: 0.59 | ε: 0.688 | Steps: 135,746
Game 1900 | Score: 2 | Record: 3 | Mean: 0.63 | ε: 0.673 | Steps: 142,151
Game 2000 | Score: 1 | Record: 3 | Mean: 0.67 | ε: 0.658 | Steps: 148,481
Game 2100 | Score: 2 | Record: 3 | Mean: 0.70 | ε: 0.646 | Steps: 153,809
Game 2200 | Score: 0 | Record: 5 | Mean: 0.73 | ε: 0.633 | Steps: 159,563
Game 2300 | Score: 2 | Record: 5 | Mean: 0.76 | ε: 0.620 | Steps: 165,099
Game 2400 | Score: 0 | Record: 5 | Mean: 0.78 | ε: 0.607 | Steps: 170,731
Game 2500 | Score: 1 | Record: 5 | Mean: 0.80 | ε: 0.594 | Steps: 176,308
