<The background buffer retains approximately the last half of the run>
Game 6300 | Score: 0 | Record: 4 | Mean: 0.25 | Intrinsic: 0.001 | Eta: 0.01000
Game 6400 | Score: 0 | Record: 4 | Mean: 0.25 | Intrinsic: 0.001 | Eta: 0.01000
Game 6500 | Score: 0 | Record: 4 | Mean: 0.25 | Intrinsic: 0.001 | Eta: 0.01000
Game 6600 | Score: 1 | Record: 4 | Mean: 0.25 | Intrinsic: 0.002 | Eta: 0.01000
Game 6700 | Score: 1 | Record: 4 | Mean: 0.26 | Intrinsic: 0.002 | Eta: 0.01000
Game 6800 | Score: 1 | Record: 4 | Mean: 0.26 | Intrinsic: 0.002 | Eta: 0.01000
Game 6900 | Score: 1 | Record: 4 | Mean: 0.26 | Intrinsic: 0.002 | Eta: 0.01000
Game 7000 | Score: 1 | Record: 4 | Mean: 0.26 | Intrinsic: 0.004 | Eta: 0.01000
Game 7100 | Score: 1 | Record: 4 | Mean: 0.26 | Intrinsic: 0.003 | Eta: 0.01000
Game 7200 | Score: 0 | Record: 4 | Mean: 0.26 | Intrinsic: 0.001 | Eta: 0.01000
Game 7300 | Score: 1 | Record: 4 | Mean: 0.26 | Intrinsic: 0.002 | Eta: 0.01000
Game 7400 | Score: 0 | Record: 4 | Mean: 0.26 | Intrinsic: 0.001 | Eta: 0.01000
Game 7500 | Score: 0 | Record: 4 | Mean: 0.26 | Intrinsic: 0.001 | Eta: 0.01000
Game 7600 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 7700 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 7800 | Score: 1 | Record: 4 | Mean: 0.27 | Intrinsic: 0.003 | Eta: 0.01000
Game 7900 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8000 | Score: 1 | Record: 4 | Mean: 0.27 | Intrinsic: 0.002 | Eta: 0.01000
Game 8100 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8200 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8300 | Score: 1 | Record: 4 | Mean: 0.27 | Intrinsic: 0.003 | Eta: 0.01000
Game 8400 | Score: 1 | Record: 4 | Mean: 0.27 | Intrinsic: 0.002 | Eta: 0.01000
Game 8500 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8600 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8700 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8800 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 8900 | Score: 0 | Record: 4 | Mean: 0.27 | Intrinsic: 0.001 | Eta: 0.01000
Game 9000 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9100 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9200 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9300 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9400 | Score: 1 | Record: 4 | Mean: 0.28 | Intrinsic: 0.004 | Eta: 0.01000
Game 9500 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9600 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9700 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9800 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 9900 | Score: 1 | Record: 4 | Mean: 0.28 | Intrinsic: 0.003 | Eta: 0.01000
Game 10000 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
Game 10100 | Score: 0 | Record: 4 | Mean: 0.28 | Intrinsic: 0.001 | Eta: 0.01000
