Starting Baseline DQN Training (Dueling + 3-Step) on 5x5 Board...
Game 100 | Score: 0 | Record: 4 | Mean Score: 0.28 | Epsilon: 0.95 | Intrinsic: 0.000
Game 200 | Score: 1 | Record: 4 | Mean Score: 0.28 | Epsilon: 0.90 | Intrinsic: 0.000
Game 300 | Score: 0 | Record: 4 | Mean Score: 0.28 | Epsilon: 0.85 | Intrinsic: 0.000
Game 400 | Score: 0 | Record: 5 | Mean Score: 0.30 | Epsilon: 0.80 | Intrinsic: 0.000
Game 500 | Score: 1 | Record: 5 | Mean Score: 0.34 | Epsilon: 0.75 | Intrinsic: 0.000
Game 600 | Score: 1 | Record: 5 | Mean Score: 0.35 | Epsilon: 0.70 | Intrinsic: 0.000
Game 700 | Score: 0 | Record: 5 | Mean Score: 0.38 | Epsilon: 0.65 | Intrinsic: 0.000
Game 800 | Score: 0 | Record: 9 | Mean Score: 0.42 | Epsilon: 0.60 | Intrinsic: 0.000
Game 900 | Score: 1 | Record: 9 | Mean Score: 0.50 | Epsilon: 0.55 | Intrinsic: 0.000
Game 1000 | Score: 0 | Record: 9 | Mean Score: 0.57 | Epsilon: 0.50 | Intrinsic: 0.000
Game 1100 | Score: 3 | Record: 9 | Mean Score: 0.62 | Epsilon: 0.45 | Intrinsic: 0.000
Game 1200 | Score: 0 | Record: 9 | Mean Score: 0.69 | Epsilon: 0.40 | Intrinsic: 0.000
Game 1300 | Score: 0 | Record: 9 | Mean Score: 0.74 | Epsilon: 0.35 | Intrinsic: 0.000
Game 1400 | Score: 2 | Record: 10 | Mean Score: 0.81 | Epsilon: 0.30 | Intrinsic: 0.000
Game 1500 | Score: 8 | Record: 10 | Mean Score: 0.91 | Epsilon: 0.25 | Intrinsic: 0.000
Game 1600 | Score: 3 | Record: 10 | Mean Score: 0.97 | Epsilon: 0.20 | Intrinsic: 0.000
Game 1700 | Score: 0 | Record: 11 | Mean Score: 1.07 | Epsilon: 0.15 | Intrinsic: 0.000
Game 1800 | Score: 0 | Record: 15 | Mean Score: 1.21 | Epsilon: 0.10 | Intrinsic: 0.000
Game 1900 | Score: 0 | Record: 17 | Mean Score: 1.41 | Epsilon: 0.05 | Intrinsic: 0.000
Game 2000 | Score: 0 | Record: 22 | Mean Score: 1.72 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2100 | Score: 8 | Record: 22 | Mean Score: 1.99 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2200 | Score: 15 | Record: 22 | Mean Score: 2.24 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2300 | Score: 13 | Record: 24 | Mean Score: 2.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2400 | Score: 12 | Record: 24 | Mean Score: 2.64 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2500 | Score: 16 | Record: 24 | Mean Score: 2.85 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2600 | Score: 6 | Record: 24 | Mean Score: 2.98 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2700 | Score: 8 | Record: 24 | Mean Score: 3.17 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2800 | Score: 0 | Record: 24 | Mean Score: 3.32 | Epsilon: 0.01 | Intrinsic: 0.000
Game 2900 | Score: 0 | Record: 24 | Mean Score: 3.46 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3000 | Score: 0 | Record: 24 | Mean Score: 3.53 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3100 | Score: 13 | Record: 24 | Mean Score: 3.69 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3200 | Score: 0 | Record: 24 | Mean Score: 3.81 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3300 | Score: 0 | Record: 24 | Mean Score: 3.89 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3400 | Score: 1 | Record: 24 | Mean Score: 4.00 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3500 | Score: 0 | Record: 24 | Mean Score: 4.08 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3600 | Score: 15 | Record: 24 | Mean Score: 4.17 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3700 | Score: 9 | Record: 24 | Mean Score: 4.26 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3800 | Score: 19 | Record: 24 | Mean Score: 4.35 | Epsilon: 0.01 | Intrinsic: 0.000
Game 3900 | Score: 0 | Record: 24 | Mean Score: 4.43 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4000 | Score: 13 | Record: 24 | Mean Score: 4.52 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4100 | Score: 19 | Record: 24 | Mean Score: 4.63 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4200 | Score: 16 | Record: 24 | Mean Score: 4.71 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4300 | Score: 0 | Record: 24 | Mean Score: 4.76 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4400 | Score: 0 | Record: 24 | Mean Score: 4.82 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4500 | Score: 1 | Record: 24 | Mean Score: 4.88 | Epsilon: 0.01 | Intrinsic: 0.000
Game 4600 | Score: 0 | Record: 24 | Mean Score: 4.92 | Epsilon: 0.01 | Intrinsic: 0.000
